targetSide	oriIncrement	correct
1	20.000	1
-1	12.000	1
1	4.000	0
-1	12.000	0
-1	16.000	0
-1	20.000	0
-1	24.000	0
-1	28.000	0
1	32.000	0
1	36.000	0
-1	40.000	0
-1	44.000	1
-1	44.000	1
1	44.000	1
-1	40.000	1
1	40.000	1
-1	40.000	1
-1	36.000	1
-1	36.000	1
-1	36.000	1
1	32.000	1
-1	32.000	1
-1	32.000	1
-1	28.000	1
1	28.000	1
1	28.000	1
-1	24.000	1
1	24.000	1
1	24.000	1
-1	20.000	1
-1	20.000	1
-1	20.000	1
1	16.000	1
-1	16.000	1
-1	16.000	1
1	12.000	1
1	12.000	1
1	12.000	1
-1	8.000	1
1	8.000	1
-1	8.000	1
1	4.000	1
-1	4.000	1
1	4.000	0
-1	8.000	1
1	8.000	0
-1	10.000	1
-1	10.000	1
-1	10.000	1
-1	8.000	1
1	8.000	1
-1	8.000	1
-1	6.000	1
-1	6.000	1
1	6.000	0
-1	8.000	1
-1	8.000	1
1	8.000	0
1	9.000	1
-1	9.000	1
1	9.000	0
-1	10.000	1
-1	10.000	1
-1	10.000	1
-1	9.000	1
-1	9.000	1
-1	9.000	1
1	8.000	0
