 >TARCYLCAP  cylinder with end-caps: Length= 20.0000 Diameter=  8.0000
      1320 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     95  15  -2  -2 1 1 1
     96  16  -2  -2 1 1 1
     97  17  -2  -2 1 1 1
     98  18  -2  -2 1 1 1
     99  19  -2  -2 1 1 1
    100  20  -2  -2 1 1 1
    101   1  -1  -2 1 1 1
    102   2  -1  -2 1 1 1
    103   3  -1  -2 1 1 1
    104   4  -1  -2 1 1 1
    105   5  -1  -2 1 1 1
    106   6  -1  -2 1 1 1
    107   7  -1  -2 1 1 1
    108   8  -1  -2 1 1 1
    109   9  -1  -2 1 1 1
    110  10  -1  -2 1 1 1
    111  11  -1  -2 1 1 1
    112  12  -1  -2 1 1 1
    113  13  -1  -2 1 1 1
    114  14  -1  -2 1 1 1
    115  15  -1  -2 1 1 1
    116  16  -1  -2 1 1 1
    117  17  -1  -2 1 1 1
    118  18  -1  -2 1 1 1
    119  19  -1  -2 1 1 1
    120  20  -1  -2 1 1 1
    121   1   0  -2 1 1 1
    122   2   0  -2 1 1 1
    123   3   0  -2 1 1 1
    124   4   0  -2 1 1 1
    125   5   0  -2 1 1 1
    126   6   0  -2 1 1 1
    127   7   0  -2 1 1 1
    128   8   0  -2 1 1 1
    129   9   0  -2 1 1 1
    130  10   0  -2 1 1 1
    131  11   0  -2 1 1 1
    132  12   0  -2 1 1 1
    133  13   0  -2 1 1 1
    134  14   0  -2 1 1 1
    135  15   0  -2 1 1 1
    136  16   0  -2 1 1 1
    137  17   0  -2 1 1 1
    138  18   0  -2 1 1 1
    139  19   0  -2 1 1 1
    140  20   0  -2 1 1 1
    141   1   1  -2 1 1 1
    142   2   1  -2 1 1 1
    143   3   1  -2 1 1 1
    144   4   1  -2 1 1 1
    145   5   1  -2 1 1 1
    146   6   1  -2 1 1 1
    147   7   1  -2 1 1 1
    148   8   1  -2 1 1 1
    149   9   1  -2 1 1 1
    150  10   1  -2 1 1 1
    151  11   1  -2 1 1 1
    152  12   1  -2 1 1 1
    153  13   1  -2 1 1 1
    154  14   1  -2 1 1 1
    155  15   1  -2 1 1 1
    156  16   1  -2 1 1 1
    157  17   1  -2 1 1 1
    158  18   1  -2 1 1 1
    159  19   1  -2 1 1 1
    160  20   1  -2 1 1 1
    161   1   2  -2 1 1 1
    162   2   2  -2 1 1 1
    163   3   2  -2 1 1 1
    164   4   2  -2 1 1 1
    165   5   2  -2 1 1 1
    166   6   2  -2 1 1 1
    167   7   2  -2 1 1 1
    168   8   2  -2 1 1 1
    169   9   2  -2 1 1 1
    170  10   2  -2 1 1 1
    171  11   2  -2 1 1 1
    172  12   2  -2 1 1 1
    173  13   2  -2 1 1 1
    174  14   2  -2 1 1 1
    175  15   2  -2 1 1 1
    176  16   2  -2 1 1 1
    177  17   2  -2 1 1 1
    178  18   2  -2 1 1 1
    179  19   2  -2 1 1 1
    180  20   2  -2 1 1 1
    181   1   3  -2 1 1 1
    182   2   3  -2 1 1 1
    183   3   3  -2 1 1 1
    184   4   3  -2 1 1 1
    185   5   3  -2 1 1 1
    186   6   3  -2 1 1 1
    187   7   3  -2 1 1 1
    188   8   3  -2 1 1 1
    189   9   3  -2 1 1 1
    190  10   3  -2 1 1 1
    191  11   3  -2 1 1 1
    192  12   3  -2 1 1 1
    193  13   3  -2 1 1 1
    194  14   3  -2 1 1 1
    195  15   3  -2 1 1 1
    196  16   3  -2 1 1 1
    197  17   3  -2 1 1 1
    198  18   3  -2 1 1 1
    199  19   3  -2 1 1 1
    200  20   3  -2 1 1 1
    201   1  -3  -1 1 1 1
    202   2  -3  -1 1 1 1
    203   3  -3  -1 1 1 1
    204   4  -3  -1 1 1 1
    205   5  -3  -1 1 1 1
    206   6  -3  -1 1 1 1
    207   7  -3  -1 1 1 1
    208   8  -3  -1 1 1 1
    209   9  -3  -1 1 1 1
    210  10  -3  -1 1 1 1
    211  11  -3  -1 1 1 1
    212  12  -3  -1 1 1 1
    213  13  -3  -1 1 1 1
    214  14  -3  -1 1 1 1
    215  15  -3  -1 1 1 1
    216  16  -3  -1 1 1 1
    217  17  -3  -1 1 1 1
    218  18  -3  -1 1 1 1
    219  19  -3  -1 1 1 1
    220  20  -3  -1 1 1 1
    221   1  -2  -1 1 1 1
    222   2  -2  -1 1 1 1
    223   3  -2  -1 1 1 1
    224   4  -2  -1 1 1 1
    225   5  -2  -1 1 1 1
    226   6  -2  -1 1 1 1
    227   7  -2  -1 1 1 1
    228   8  -2  -1 1 1 1
    229   9  -2  -1 1 1 1
    230  10  -2  -1 1 1 1
    231  11  -2  -1 1 1 1
    232  12  -2  -1 1 1 1
    233  13  -2  -1 1 1 1
    234  14  -2  -1 1 1 1
    235  15  -2  -1 1 1 1
    236  16  -2  -1 1 1 1
    237  17  -2  -1 1 1 1
    238  18  -2  -1 1 1 1
    239  19  -2  -1 1 1 1
    240  20  -2  -1 1 1 1
    241   1  -1  -1 1 1 1
    242   2  -1  -1 1 1 1
    243   3  -1  -1 1 1 1
    244   4  -1  -1 1 1 1
    245   5  -1  -1 1 1 1
    246   6  -1  -1 1 1 1
    247   7  -1  -1 1 1 1
    248   8  -1  -1 1 1 1
    249   9  -1  -1 1 1 1
    250  10  -1  -1 1 1 1
    251  11  -1  -1 1 1 1
    252  12  -1  -1 1 1 1
    253  13  -1  -1 1 1 1
    254  14  -1  -1 1 1 1
    255  15  -1  -1 1 1 1
    256  16  -1  -1 1 1 1
    257  17  -1  -1 1 1 1
    258  18  -1  -1 1 1 1
    259  19  -1  -1 1 1 1
    260  20  -1  -1 1 1 1
    261   1   0  -1 1 1 1
    262   2   0  -1 1 1 1
    263   3   0  -1 1 1 1
    264   4   0  -1 1 1 1
    265   5   0  -1 1 1 1
    266   6   0  -1 1 1 1
    267   7   0  -1 1 1 1
    268   8   0  -1 1 1 1
    269   9   0  -1 1 1 1
    270  10   0  -1 1 1 1
    271  11   0  -1 1 1 1
    272  12   0  -1 1 1 1
    273  13   0  -1 1 1 1
    274  14   0  -1 1 1 1
    275  15   0  -1 1 1 1
    276  16   0  -1 1 1 1
    277  17   0  -1 1 1 1
    278  18   0  -1 1 1 1
    279  19   0  -1 1 1 1
    280  20   0  -1 1 1 1
    281   1   1  -1 1 1 1
    282   2   1  -1 1 1 1
    283   3   1  -1 1 1 1
    284   4   1  -1 1 1 1
    285   5   1  -1 1 1 1
    286   6   1  -1 1 1 1
    287   7   1  -1 1 1 1
    288   8   1  -1 1 1 1
    289   9   1  -1 1 1 1
    290  10   1  -1 1 1 1
    291  11   1  -1 1 1 1
    292  12   1  -1 1 1 1
    293  13   1  -1 1 1 1
    294  14   1  -1 1 1 1
    295  15   1  -1 1 1 1
    296  16   1  -1 1 1 1
    297  17   1  -1 1 1 1
    298  18   1  -1 1 1 1
    299  19   1  -1 1 1 1
    300  20   1  -1 1 1 1
    301   1   2  -1 1 1 1
    302   2   2  -1 1 1 1
    303   3   2  -1 1 1 1
    304   4   2  -1 1 1 1
    305   5   2  -1 1 1 1
    306   6   2  -1 1 1 1
    307   7   2  -1 1 1 1
    308   8   2  -1 1 1 1
    309   9   2  -1 1 1 1
    310  10   2  -1 1 1 1
    311  11   2  -1 1 1 1
    312  12   2  -1 1 1 1
    313  13   2  -1 1 1 1
    314  14   2  -1 1 1 1
    315  15   2  -1 1 1 1
    316  16   2  -1 1 1 1
    317  17   2  -1 1 1 1
    318  18   2  -1 1 1 1
    319  19   2  -1 1 1 1
    320  20   2  -1 1 1 1
    321   1   3  -1 1 1 1
    322   2   3  -1 1 1 1
    323   3   3  -1 1 1 1
    324   4   3  -1 1 1 1
    325   5   3  -1 1 1 1
    326   6   3  -1 1 1 1
    327   7   3  -1 1 1 1
    328   8   3  -1 1 1 1
    329   9   3  -1 1 1 1
    330  10   3  -1 1 1 1
    331  11   3  -1 1 1 1
    332  12   3  -1 1 1 1
    333  13   3  -1 1 1 1
    334  14   3  -1 1 1 1
    335  15   3  -1 1 1 1
    336  16   3  -1 1 1 1
    337  17   3  -1 1 1 1
    338  18   3  -1 1 1 1
    339  19   3  -1 1 1 1
    340  20   3  -1 1 1 1
    341   1   4  -1 1 1 1
    342   2   4  -1 1 1 1
    343   3   4  -1 1 1 1
    344   4   4  -1 1 1 1
    345   5   4  -1 1 1 1
    346   6   4  -1 1 1 1
    347   7   4  -1 1 1 1
    348   8   4  -1 1 1 1
    349   9   4  -1 1 1 1
    350  10   4  -1 1 1 1
    351  11   4  -1 1 1 1
    352  12   4  -1 1 1 1
    353  13   4  -1 1 1 1
    354  14   4  -1 1 1 1
    355  15   4  -1 1 1 1
    356  16   4  -1 1 1 1
    357  17   4  -1 1 1 1
    358  18   4  -1 1 1 1
    359  19   4  -1 1 1 1
    360  20   4  -1 1 1 1
    361   1  -3   0 1 1 1
    362   2  -3   0 1 1 1
    363   3  -3   0 1 1 1
    364   4  -3   0 1 1 1
    365   5  -3   0 1 1 1
    366   6  -3   0 1 1 1
    367   7  -3   0 1 1 1
    368   8  -3   0 1 1 1
    369   9  -3   0 1 1 1
    370  10  -3   0 1 1 1
    371  11  -3   0 1 1 1
    372  12  -3   0 1 1 1
    373  13  -3   0 1 1 1
    374  14  -3   0 1 1 1
    375  15  -3   0 1 1 1
    376  16  -3   0 1 1 1
    377  17  -3   0 1 1 1
    378  18  -3   0 1 1 1
    379  19  -3   0 1 1 1
    380  20  -3   0 1 1 1
    381   1  -2   0 1 1 1
    382   2  -2   0 1 1 1
    383   3  -2   0 1 1 1
    384   4  -2   0 1 1 1
    385   5  -2   0 1 1 1
    386   6  -2   0 1 1 1
    387   7  -2   0 1 1 1
    388   8  -2   0 1 1 1
    389   9  -2   0 1 1 1
    390  10  -2   0 1 1 1
    391  11  -2   0 1 1 1
    392  12  -2   0 1 1 1
    393  13  -2   0 1 1 1
    394  14  -2   0 1 1 1
    395  15  -2   0 1 1 1
    396  16  -2   0 1 1 1
    397  17  -2   0 1 1 1
    398  18  -2   0 1 1 1
    399  19  -2   0 1 1 1
    400  20  -2   0 1 1 1
    401   1  -1   0 1 1 1
    402   2  -1   0 1 1 1
    403   3  -1   0 1 1 1
    404   4  -1   0 1 1 1
    405   5  -1   0 1 1 1
    406   6  -1   0 1 1 1
    407   7  -1   0 1 1 1
    408   8  -1   0 1 1 1
    409   9  -1   0 1 1 1
    410  10  -1   0 1 1 1
    411  11  -1   0 1 1 1
    412  12  -1   0 1 1 1
    413  13  -1   0 1 1 1
    414  14  -1   0 1 1 1
    415  15  -1   0 1 1 1
    416  16  -1   0 1 1 1
    417  17  -1   0 1 1 1
    418  18  -1   0 1 1 1
    419  19  -1   0 1 1 1
    420  20  -1   0 1 1 1
    421   1   0   0 1 1 1
    422   2   0   0 1 1 1
    423   3   0   0 1 1 1
    424   4   0   0 1 1 1
    425   5   0   0 1 1 1
    426   6   0   0 1 1 1
    427   7   0   0 1 1 1
    428   8   0   0 1 1 1
    429   9   0   0 1 1 1
    430  10   0   0 1 1 1
    431  11   0   0 1 1 1
    432  12   0   0 1 1 1
    433  13   0   0 1 1 1
    434  14   0   0 1 1 1
    435  15   0   0 1 1 1
    436  16   0   0 1 1 1
    437  17   0   0 1 1 1
    438  18   0   0 1 1 1
    439  19   0   0 1 1 1
    440  20   0   0 1 1 1
    441   1   1   0 1 1 1
    442   2   1   0 1 1 1
    443   3   1   0 1 1 1
    444   4   1   0 1 1 1
    445   5   1   0 1 1 1
    446   6   1   0 1 1 1
    447   7   1   0 1 1 1
    448   8   1   0 1 1 1
    449   9   1   0 1 1 1
    450  10   1   0 1 1 1
    451  11   1   0 1 1 1
    452  12   1   0 1 1 1
    453  13   1   0 1 1 1
    454  14   1   0 1 1 1
    455  15   1   0 1 1 1
    456  16   1   0 1 1 1
    457  17   1   0 1 1 1
    458  18   1   0 1 1 1
    459  19   1   0 1 1 1
    460  20   1   0 1 1 1
    461   1   2   0 1 1 1
    462   2   2   0 1 1 1
    463   3   2   0 1 1 1
    464   4   2   0 1 1 1
    465   5   2   0 1 1 1
    466   6   2   0 1 1 1
    467   7   2   0 1 1 1
    468   8   2   0 1 1 1
    469   9   2   0 1 1 1
    470  10   2   0 1 1 1
    471  11   2   0 1 1 1
    472  12   2   0 1 1 1
    473  13   2   0 1 1 1
    474  14   2   0 1 1 1
    475  15   2   0 1 1 1
    476  16   2   0 1 1 1
    477  17   2   0 1 1 1
    478  18   2   0 1 1 1
    479  19   2   0 1 1 1
    480  20   2   0 1 1 1
    481   1   3   0 1 1 1
    482   2   3   0 1 1 1
    483   3   3   0 1 1 1
    484   4   3   0 1 1 1
    485   5   3   0 1 1 1
    486   6   3   0 1 1 1
    487   7   3   0 1 1 1
    488   8   3   0 1 1 1
    489   9   3   0 1 1 1
    490  10   3   0 1 1 1
    491  11   3   0 1 1 1
    492  12   3   0 1 1 1
    493  13   3   0 1 1 1
    494  14   3   0 1 1 1
    495  15   3   0 1 1 1
    496  16   3   0 1 1 1
    497  17   3   0 1 1 1
    498  18   3   0 1 1 1
    499  19   3   0 1 1 1
    500  20   3   0 1 1 1
    501   1   4   0 1 1 1
    502   2   4   0 1 1 1
    503   3   4   0 1 1 1
    504   4   4   0 1 1 1
    505   5   4   0 1 1 1
    506   6   4   0 1 1 1
    507   7   4   0 1 1 1
    508   8   4   0 1 1 1
    509   9   4   0 1 1 1
    510  10   4   0 1 1 1
    511  11   4   0 1 1 1
    512  12   4   0 1 1 1
    513  13   4   0 1 1 1
    514  14   4   0 1 1 1
    515  15   4   0 1 1 1
    516  16   4   0 1 1 1
    517  17   4   0 1 1 1
    518  18   4   0 1 1 1
    519  19   4   0 1 1 1
    520  20   4   0 1 1 1
    521   1  -3   1 1 1 1
    522   2  -3   1 1 1 1
    523   3  -3   1 1 1 1
    524   4  -3   1 1 1 1
    525   5  -3   1 1 1 1
    526   6  -3   1 1 1 1
    527   7  -3   1 1 1 1
    528   8  -3   1 1 1 1
    529   9  -3   1 1 1 1
    530  10  -3   1 1 1 1
    531  11  -3   1 1 1 1
    532  12  -3   1 1 1 1
    533  13  -3   1 1 1 1
    534  14  -3   1 1 1 1
    535  15  -3   1 1 1 1
    536  16  -3   1 1 1 1
    537  17  -3   1 1 1 1
    538  18  -3   1 1 1 1
    539  19  -3   1 1 1 1
    540  20  -3   1 1 1 1
    541   1  -2   1 1 1 1
    542   2  -2   1 1 1 1
    543   3  -2   1 1 1 1
    544   4  -2   1 1 1 1
    545   5  -2   1 1 1 1
    546   6  -2   1 1 1 1
    547   7  -2   1 1 1 1
    548   8  -2   1 1 1 1
    549   9  -2   1 1 1 1
    550  10  -2   1 1 1 1
    551  11  -2   1 1 1 1
    552  12  -2   1 1 1 1
    553  13  -2   1 1 1 1
    554  14  -2   1 1 1 1
    555  15  -2   1 1 1 1
    556  16  -2   1 1 1 1
    557  17  -2   1 1 1 1
    558  18  -2   1 1 1 1
    559  19  -2   1 1 1 1
    560  20  -2   1 1 1 1
    561   1  -1   1 1 1 1
    562   2  -1   1 1 1 1
    563   3  -1   1 1 1 1
    564   4  -1   1 1 1 1
    565   5  -1   1 1 1 1
    566   6  -1   1 1 1 1
    567   7  -1   1 1 1 1
    568   8  -1   1 1 1 1
    569   9  -1   1 1 1 1
    570  10  -1   1 1 1 1
    571  11  -1   1 1 1 1
    572  12  -1   1 1 1 1
    573  13  -1   1 1 1 1
    574  14  -1   1 1 1 1
    575  15  -1   1 1 1 1
    576  16  -1   1 1 1 1
    577  17  -1   1 1 1 1
    578  18  -1   1 1 1 1
    579  19  -1   1 1 1 1
    580  20  -1   1 1 1 1
    581   1   0   1 1 1 1
    582   2   0   1 1 1 1
    583   3   0   1 1 1 1
    584   4   0   1 1 1 1
    585   5   0   1 1 1 1
    586   6   0   1 1 1 1
    587   7   0   1 1 1 1
    588   8   0   1 1 1 1
    589   9   0   1 1 1 1
    590  10   0   1 1 1 1
    591  11   0   1 1 1 1
    592  12   0   1 1 1 1
    593  13   0   1 1 1 1
    594  14   0   1 1 1 1
    595  15   0   1 1 1 1
    596  16   0   1 1 1 1
    597  17   0   1 1 1 1
    598  18   0   1 1 1 1
    599  19   0   1 1 1 1
    600  20   0   1 1 1 1
    601   1   1   1 1 1 1
    602   2   1   1 1 1 1
    603   3   1   1 1 1 1
    604   4   1   1 1 1 1
    605   5   1   1 1 1 1
    606   6   1   1 1 1 1
    607   7   1   1 1 1 1
    608   8   1   1 1 1 1
    609   9   1   1 1 1 1
    610  10   1   1 1 1 1
    611  11   1   1 1 1 1
    612  12   1   1 1 1 1
    613  13   1   1 1 1 1
    614  14   1   1 1 1 1
    615  15   1   1 1 1 1
    616  16   1   1 1 1 1
    617  17   1   1 1 1 1
    618  18   1   1 1 1 1
    619  19   1   1 1 1 1
    620  20   1   1 1 1 1
    621   1   2   1 1 1 1
    622   2   2   1 1 1 1
    623   3   2   1 1 1 1
    624   4   2   1 1 1 1
    625   5   2   1 1 1 1
    626   6   2   1 1 1 1
    627   7   2   1 1 1 1
    628   8   2   1 1 1 1
    629   9   2   1 1 1 1
    630  10   2   1 1 1 1
    631  11   2   1 1 1 1
    632  12   2   1 1 1 1
    633  13   2   1 1 1 1
    634  14   2   1 1 1 1
    635  15   2   1 1 1 1
    636  16   2   1 1 1 1
    637  17   2   1 1 1 1
    638  18   2   1 1 1 1
    639  19   2   1 1 1 1
    640  20   2   1 1 1 1
    641   1   3   1 1 1 1
    642   2   3   1 1 1 1
    643   3   3   1 1 1 1
    644   4   3   1 1 1 1
    645   5   3   1 1 1 1
    646   6   3   1 1 1 1
    647   7   3   1 1 1 1
    648   8   3   1 1 1 1
    649   9   3   1 1 1 1
    650  10   3   1 1 1 1
    651  11   3   1 1 1 1
    652  12   3   1 1 1 1
    653  13   3   1 1 1 1
    654  14   3   1 1 1 1
    655  15   3   1 1 1 1
    656  16   3   1 1 1 1
    657  17   3   1 1 1 1
    658  18   3   1 1 1 1
    659  19   3   1 1 1 1
    660  20   3   1 1 1 1
    661   1   4   1 1 1 1
    662   2   4   1 1 1 1
    663   3   4   1 1 1 1
    664   4   4   1 1 1 1
    665   5   4   1 1 1 1
    666   6   4   1 1 1 1
    667   7   4   1 1 1 1
    668   8   4   1 1 1 1
    669   9   4   1 1 1 1
    670  10   4   1 1 1 1
    671  11   4   1 1 1 1
    672  12   4   1 1 1 1
    673  13   4   1 1 1 1
    674  14   4   1 1 1 1
    675  15   4   1 1 1 1
    676  16   4   1 1 1 1
    677  17   4   1 1 1 1
    678  18   4   1 1 1 1
    679  19   4   1 1 1 1
    680  20   4   1 1 1 1
    681   1  -3   2 1 1 1
    682   2  -3   2 1 1 1
    683   3  -3   2 1 1 1
    684   4  -3   2 1 1 1
    685   5  -3   2 1 1 1
    686   6  -3   2 1 1 1
    687   7  -3   2 1 1 1
    688   8  -3   2 1 1 1
    689   9  -3   2 1 1 1
    690  10  -3   2 1 1 1
    691  11  -3   2 1 1 1
    692  12  -3   2 1 1 1
    693  13  -3   2 1 1 1
    694  14  -3   2 1 1 1
    695  15  -3   2 1 1 1
    696  16  -3   2 1 1 1
    697  17  -3   2 1 1 1
    698  18  -3   2 1 1 1
    699  19  -3   2 1 1 1
    700  20  -3   2 1 1 1
    701   1  -2   2 1 1 1
    702   2  -2   2 1 1 1
    703   3  -2   2 1 1 1
    704   4  -2   2 1 1 1
    705   5  -2   2 1 1 1
    706   6  -2   2 1 1 1
    707   7  -2   2 1 1 1
    708   8  -2   2 1 1 1
    709   9  -2   2 1 1 1
    710  10  -2   2 1 1 1
    711  11  -2   2 1 1 1
    712  12  -2   2 1 1 1
    713  13  -2   2 1 1 1
    714  14  -2   2 1 1 1
    715  15  -2   2 1 1 1
    716  16  -2   2 1 1 1
    717  17  -2   2 1 1 1
    718  18  -2   2 1 1 1
    719  19  -2   2 1 1 1
    720  20  -2   2 1 1 1
    721   1  -1   2 1 1 1
    722   2  -1   2 1 1 1
    723   3  -1   2 1 1 1
    724   4  -1   2 1 1 1
    725   5  -1   2 1 1 1
    726   6  -1   2 1 1 1
    727   7  -1   2 1 1 1
    728   8  -1   2 1 1 1
    729   9  -1   2 1 1 1
    730  10  -1   2 1 1 1
    731  11  -1   2 1 1 1
    732  12  -1   2 1 1 1
    733  13  -1   2 1 1 1
    734  14  -1   2 1 1 1
    735  15  -1   2 1 1 1
    736  16  -1   2 1 1 1
    737  17  -1   2 1 1 1
    738  18  -1   2 1 1 1
    739  19  -1   2 1 1 1
    740  20  -1   2 1 1 1
    741   1   0   2 1 1 1
    742   2   0   2 1 1 1
    743   3   0   2 1 1 1
    744   4   0   2 1 1 1
    745   5   0   2 1 1 1
    746   6   0   2 1 1 1
    747   7   0   2 1 1 1
    748   8   0   2 1 1 1
    749   9   0   2 1 1 1
    750  10   0   2 1 1 1
    751  11   0   2 1 1 1
    752  12   0   2 1 1 1
    753  13   0   2 1 1 1
    754  14   0   2 1 1 1
    755  15   0   2 1 1 1
    756  16   0   2 1 1 1
    757  17   0   2 1 1 1
    758  18   0   2 1 1 1
    759  19   0   2 1 1 1
    760  20   0   2 1 1 1
    761   1   1   2 1 1 1
    762   2   1   2 1 1 1
    763   3   1   2 1 1 1
    764   4   1   2 1 1 1
    765   5   1   2 1 1 1
    766   6   1   2 1 1 1
    767   7   1   2 1 1 1
    768   8   1   2 1 1 1
    769   9   1   2 1 1 1
    770  10   1   2 1 1 1
    771  11   1   2 1 1 1
    772  12   1   2 1 1 1
    773  13   1   2 1 1 1
    774  14   1   2 1 1 1
    775  15   1   2 1 1 1
    776  16   1   2 1 1 1
    777  17   1   2 1 1 1
    778  18   1   2 1 1 1
    779  19   1   2 1 1 1
    780  20   1   2 1 1 1
    781   1   2   2 1 1 1
    782   2   2   2 1 1 1
    783   3   2   2 1 1 1
    784   4   2   2 1 1 1
    785   5   2   2 1 1 1
    786   6   2   2 1 1 1
    787   7   2   2 1 1 1
    788   8   2   2 1 1 1
    789   9   2   2 1 1 1
    790  10   2   2 1 1 1
    791  11   2   2 1 1 1
    792  12   2   2 1 1 1
    793  13   2   2 1 1 1
    794  14   2   2 1 1 1
    795  15   2   2 1 1 1
    796  16   2   2 1 1 1
    797  17   2   2 1 1 1
    798  18   2   2 1 1 1
    799  19   2   2 1 1 1
    800  20   2   2 1 1 1
    801   1   3   2 1 1 1
    802   2   3   2 1 1 1
    803   3   3   2 1 1 1
    804   4   3   2 1 1 1
    805   5   3   2 1 1 1
    806   6   3   2 1 1 1
    807   7   3   2 1 1 1
    808   8   3   2 1 1 1
    809   9   3   2 1 1 1
    810  10   3   2 1 1 1
    811  11   3   2 1 1 1
    812  12   3   2 1 1 1
    813  13   3   2 1 1 1
    814  14   3   2 1 1 1
    815  15   3   2 1 1 1
    816  16   3   2 1 1 1
    817  17   3   2 1 1 1
    818  18   3   2 1 1 1
    819  19   3   2 1 1 1
    820  20   3   2 1 1 1
    821   1   4   2 1 1 1
    822   2   4   2 1 1 1
    823   3   4   2 1 1 1
    824   4   4   2 1 1 1
    825   5   4   2 1 1 1
    826   6   4   2 1 1 1
    827   7   4   2 1 1 1
    828   8   4   2 1 1 1
    829   9   4   2 1 1 1
    830  10   4   2 1 1 1
    831  11   4   2 1 1 1
    832  12   4   2 1 1 1
    833  13   4   2 1 1 1
    834  14   4   2 1 1 1
    835  15   4   2 1 1 1
    836  16   4   2 1 1 1
    837  17   4   2 1 1 1
    838  18   4   2 1 1 1
    839  19   4   2 1 1 1
    840  20   4   2 1 1 1
    841   1  -2   3 1 1 1
    842   2  -2   3 1 1 1
    843   3  -2   3 1 1 1
    844   4  -2   3 1 1 1
    845   5  -2   3 1 1 1
    846   6  -2   3 1 1 1
    847   7  -2   3 1 1 1
    848   8  -2   3 1 1 1
    849   9  -2   3 1 1 1
    850  10  -2   3 1 1 1
    851  11  -2   3 1 1 1
    852  12  -2   3 1 1 1
    853  13  -2   3 1 1 1
    854  14  -2   3 1 1 1
    855  15  -2   3 1 1 1
    856  16  -2   3 1 1 1
    857  17  -2   3 1 1 1
    858  18  -2   3 1 1 1
    859  19  -2   3 1 1 1
