 >TARCYLCAP  cylinder with end-caps: Length= 20.0000 Diameter=  8.0000
      1320 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1  -1  -3 1 1 1
      2   2  -1  -3 1 1 1
      3   3  -1  -3 1 1 1
      4   4  -1  -3 1 1 1
      5   5  -1  -3 1 1 1
      6   6  -1  -3 1 1 1
      7   7  -1  -3 1 1 1
      8   8  -1  -3 1 1 1
      9   9  -1  -3 1 1 1
     10  10  -1  -3 1 1 1
     11  11  -1  -3 1 1 1
     12  12  -1  -3 1 1 1
     13  13  -1  -3 1 1 1
     14  14  -1  -3 1 1 1
     15  15  -1  -3 1 1 1
     16  16  -1  -3 1 1 1
     17  17  -1  -3 1 1 1
     18  18  -1  -3 1 1 1
     19  19  -1  -3 1 1 1
     20  20  -1  -3 1 1 1
     21   1   0  -3 1 1 1
     22   2   0  -3 1 1 1
     23   3   0  -3 1 1 1
     24   4   0  -3 1 1 1
     25   5   0  -3 1 1 1
     26   6   0  -3 1 1 1
     27   7   0  -3 1 1 1
     28   8   0  -3 1 1 1
     29   9   0  -3 1 1 1
     30  10   0  -3 1 1 1
     31  11   0  -3 1 1 1
     32  12   0  -3 1 1 1
     33  13   0  -3 1 1 1
     34  14   0  -3 1 1 1
     35  15   0  -3 1 1 1
     36  16   0  -3 1 1 1
     37  17   0  -3 1 1 1
     38  18   0  -3 1 1 1
     39  19   0  -3 1 1 1
     40  20   0  -3 1 1 1
     41   1   1  -3 1 1 1
     42   2   1  -3 1 1 1
     43   3   1  -3 1 1 1
     44   4   1  -3 1 1 1
     45   5   1  -3 1 1 1
     46   6   1  -3 1 1 1
     47   7   1  -3 1 1 1
     48   8   1  -3 1 1 1
     49   9   1  -3 1 1 1
     50  10   1  -3 1 1 1
     51  11   1  -3 1 1 1
     52  12   1  -3 1 1 1
     53  13   1  -3 1 1 1
     54  14   1  -3 1 1 1
     55  15   1  -3 1 1 1
     56  16   1  -3 1 1 1
     57  17   1  -3 1 1 1
     58  18   1  -3 1 1 1
     59  19   1  -3 1 1 1
     60  20   1  -3 1 1 1
     61   1   2  -3 1 1 1
     62   2   2  -3 1 1 1
     63   3   2  -3 1 1 1
     64   4   2  -3 1 1 1
     65   5   2  -3 1 1 1
     66   6   2  -3 1 1 1
     67   7   2  -3 1 1 1
     68   8   2  -3 1 1 1
     69   9   2  -3 1 1 1
     70  10   2  -3 1 1 1
     71  11   2  -3 1 1 1
     72  12   2  -3 1 1 1
     73  13   2  -3 1 1 1
     74  14   2  -3 1 1 1
     75  15   2  -3 1 1 1
     76  16   2  -3 1 1 1
     77  17   2  -3 1 1 1
     78  18   2  -3 1 1 1
     79  19   2  -3 1 1 1
     80  20   2  -3 1 1 1
     81   1  -2  -2 1 1 1
     82   2  -2  -2 1 1 1
     83   3  -2  -2 1 1 1
     84   4  -2  -2 1 1 1
     85   5  -2  -2 1 1 1
     86   6  -2  -2 1 1 1
     87   7  -2  -2 1 1 1
     88   8  -2  -2 1 1 1
     89   9  -2  -2 1 1 1
     90  10  -2  -2 1 1 1
     91  11  -2  -2 1 1 1
     92  12  -2  -2 1 1 1
     93  13  -2  -2 1 1 1
     94  14  -2  -2 1 1 1
