id,slug,name_en,name_pt
1,north,North,Norte
2,northeast,Northeast,Nordeste
3,east,East,Leste
4,southeast,Southeast,Sudeste
5,south,South,Sul
6,southwest,Southwest,Sudoeste
7,west,West,Oeste
8,northwest,Northwest,Noroeste
